,sale_id,sale_date,year,quarter,month,country,region,city,product_name,category,storage,color,is_5g,unit_price_usd,discount_pct,units_sold,discounted_price_usd,revenue_usd,currency,fx_rate_to_usd,revenue_local_currency,sales_channel,payment_method,customer_segment,customer_age_group,previous_device_os,customer_rating,return_status
0,SAMS-00000001,2021-01-01,2021,Q1,January,Argentina,South America,Buenos Aires,Samsung Galaxy Tab S9 Ultra,Galaxy Tab,1 TB,Graphite,No,1246.77,0,1,1246.77,1246.77,ARS,907,1130820.39,E-commerce Platform,Samsung Pay,Business,45–54,,3.2,Kept
1,SAMS-00000002,2021-03-23,2021,Q1,March,Argentina,South America,Buenos Aires,Samsung Galaxy S23,Galaxy S,1 TB,Titanium Violet,Yes,809.84,10,2,728.86,1457.72,ARS,907,1322152.04,Authorized Reseller,Net Banking,Government,55+,Feature Phone,,Kept
2,SAMS-00000003,2021-05-22,2021,Q2,May,Argentina,South America,Buenos Aires,Samsung Galaxy A34 5G,Galaxy A,128 GB,Awesome Black,Yes,410.19,12,6,360.97,2165.82,ARS,907,1964398.74,Corporate / B2B,Gift Card,Individual,25–34,New User,3.5,Kept
3,SAMS-00000004,2021-07-26,2021,Q3,July,Argentina,South America,Buenos Aires,Samsung T55 27-inch FHD,Monitor,,Black,No,242.69,0,3,242.69,728.07,ARS,907,660359.49,Third-Party Retailer,BNPL (Buy Now Pay Later),Enterprise,55+,,4,Kept
4,SAMS-00000005,2021-09-02,2021,Q3,September,Argentina,South America,Buenos Aires,Samsung Galaxy Z Fold 4,Galaxy Z,256 GB,Cream,Yes,1562.98,0,2,1562.98,3125.96,ARS,907,2835245.72,Authorized Reseller,Gift Card,Business,55+,Android (Other),3,Kept
5,SAMS-00000006,2021-09-15,2021,Q3,September,Argentina,South America,Buenos Aires,Samsung Galaxy Watch 5,Galaxy Watch,,Silver,No,255.89,20,2,204.71,409.42,ARS,907,371343.94,E-commerce Platform,Net Banking,Government,25–34,,2.6,Kept
6,SAMS-00000007,2021-11-02,2021,Q4,November,Argentina,South America,Buenos Aires,Samsung 870 EVO 1TB SSD,Accessories,,Black,No,121.95,15,4,103.66,414.64,ARS,907,376078.48,Carrier Store,Net Banking,Enterprise,55+,,4.5,Kept
7,SAMS-00000008,2022-01-26,2022,Q1,January,Argentina,South America,Buenos Aires,Samsung Galaxy M14 5G,Galaxy M,128 GB,Dark Blue,Yes,186.85,7,2,173.77,347.54,ARS,907,315218.78,Third-Party Retailer,Debit Card,Education,25–34,Feature Phone,,Kept
8,SAMS-00000009,2022-02-22,2022,Q1,February,Argentina,South America,Buenos Aires,Samsung Galaxy Buds Live,Galaxy Buds,,Lime,No,161.12,2,1,157.9,157.9,ARS,907,143215.3,Online (Samsung.com),EMI / Installment,Individual,18–24,,,Kept
9,SAMS-00000010,2022-02-28,2022,Q1,February,Argentina,South America,Buenos Aires,Samsung Galaxy A53 5G,Galaxy A,64 GB,Awesome Violet,Yes,429.3,0,3,429.3,1287.9,ARS,907,1168125.3,Third-Party Retailer,Net Banking,Government,25–34,Android (Other),4.7,Kept
10,SAMS-00000011,2022-06-17,2022,Q2,June,Argentina,South America,Buenos Aires,Samsung Galaxy S22,Galaxy S,256 GB,Graph,Yes,682.46,5,3,648.34,1945.02,ARS,907,1764133.14,E-commerce Platform,Samsung Pay,Business,35–44,New User,,Kept
11,SAMS-00000012,2022-06-29,2022,Q2,June,Argentina,South America,Buenos Aires,Samsung Galaxy Tab S9+,Galaxy Tab,64 GB,Graphite,No,1010,0,3,1010,3030,ARS,907,2748210,Carrier Store,EMI / Installment,Enterprise,35–44,,4.1,Kept
